Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 2),SKU,Packaging,Unit Price (@ Batch Size: 2),In Stock,MOQ,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 2) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Digi-Key,Digi-Key,Digi-Key,Digi-Key,Digi-Key,,,,,,,,,,
12,06033C104JAT2A,AVX,06033C104JAT2A,https://octopart.com/06033c104jat2a-avx-195750,"C1, C14, C15, C16, C17, C20, C21, C22, C23, C25, C27, C28",,0.1u,24,478-3713-1-ND,Cut Tape,0.27274307500000006,1511758,1,https://octopart.com/click/track?ak=39ac400e&sig=01cf9c5&sid=459&ppid=195750&vpid=1287871&ct=offers,Voyager Components,06033C104JAT2A,,0.09917930000000001,1.1901516,2.3803032,1298,,https://octopart.com/click/track?ak=39ac400e&sig=00a5bfe&sid=2424&ppid=195750&vpid=502929415&ct=offers,
4,CGA3E1X7R1E105K080AD,TDK,CGA3E1X7R1E105K080AD,https://octopart.com/cga3e1x7r1e105k080ad-tdk-27956405,"C2, C3, C4, C5",,1u,8,445-9819-1-ND,Cut Tape,0.35704548,4387,1,https://octopart.com/click/track?ak=39ac400e&sig=0d94478&sid=459&ppid=27956405&vpid=71838019&ct=offers,"Arrow Electronics, Inc.",CGA3E1X7R1E105K080AD,Cut Tape,0.27323897150000004,1.0929558860000002,2.1859117720000003,3003,1,https://octopart.com/click/track?ak=39ac400e&sig=0c270e4&sid=1106&ppid=27956405&vpid=473449937&ct=offers,
8,CC0603JRX7R9BB103,Yageo,CC0603JRX7R9BB103,https://octopart.com/cc0603jrx7r9bb103-yageo-9287396,"C6, C7, C8, C9, C10, C11, C12, C13",,0.01u,16,311-1778-1-ND,Cut Tape,0.075376268,92793,1,https://octopart.com/click/track?ak=39ac400e&sig=0daaad3&sid=459&ppid=9287396&vpid=193846421&ct=offers,Mouser,CC0603JRX7R9BB103,,0.051573236,0.412585888,0.825171776,6106,1,https://octopart.com/click/track?ak=39ac400e&sig=003455d&sid=2401&ppid=9287396&vpid=37935584&ct=offers,
2,SM06B-SRSS-TB(LF)(SN),JST,SM06B-SRSS-TB(LF)(SN),https://octopart.com/sm06b-srss-tb%28lf%29%28sn%29-jst-289309,"J5, J6",,Conn_01x06,4,455-1806-1-ND,Cut Tape,0.82318819,86152,1,https://octopart.com/click/track?ak=39ac400e&sig=0d6f3ab&sid=459&ppid=289309&vpid=2122704&ct=offers,LCSC,C160405,,0.2922026738413028,0.5844053476826055,1.168810695365211,1308,1,https://octopart.com/click/track?ak=39ac400e&sig=0858c2a&sid=27971&ppid=289309&vpid=502806666&ct=offers,
8,RC0603FR-071KL,Yageo,RC0603FR-071KL,https://octopart.com/rc0603fr-071kl-yageo-55402882,"R1, R2, R3, R4, R5, R6, R7, R8",,1k,16,311-1.00KHRCT-ND,Cut Tape,0.023803032000000002,58442705,1,https://octopart.com/click/track?ak=39ac400e&sig=0fe2519&sid=459&ppid=55402882&vpid=188128906&ct=offers,"Arrow Electronics, Inc.",RC0603FR-071KL,Cut Tape,0.0013885102,0.0111080816,0.0222161632,72,1,https://octopart.com/click/track?ak=39ac400e&sig=0f08049&sid=1106&ppid=55402882&vpid=473550092&ct=offers,
9,CRCW060347R0JNEAHP,Vishay,CRCW060347R0JNEAHP,https://octopart.com/crcw060347r0jneahp-vishay-44383251,"R9, R10, R11, R12, R13, R15, R16, R17, R18",,47,18,541-47SACT-ND,Cut Tape,0.140834606,20000,1,https://octopart.com/click/track?ak=39ac400e&sig=0e1436c&sid=459&ppid=44383251&vpid=119632603&ct=offers,element14 APAC,2904165,,0.05350180455528279,0.48151624099754514,0.9630324819950903,5000,1,https://octopart.com/click/track?ak=39ac400e&sig=0b57cbc&sid=11744&ppid=44383251&vpid=508984469&ct=offers,
1,SN74LVC1G02DBVR,Texas Instruments,SN74LVC1G02DBVR,https://octopart.com/sn74lvc1g02dbvr-texas+instruments-464409,U1,,74LVC1G02,2,296-11597-1-ND,Cut Tape,0.42647099,14866,1,https://octopart.com/click/track?ak=39ac400e&sig=04ffe57&sid=459&ppid=464409&vpid=2019080&ct=offers,Newark,76C4065,Cut Tape,0.055540408000000006,0.055540408000000006,0.11108081600000001,2760,1,https://octopart.com/click/track?ak=39ac400e&sig=076436f&sid=2402&ppid=464409&vpid=6694096&ct=offers,
2,ADS1220IPWR,Texas Instruments,ADS1220IPWR,https://octopart.com/ads1220ipwr-texas+instruments-29520932,"U2, U3",,ADS1220,4,296-39851-1-ND,Cut Tape,8.45007636,5425,1,https://octopart.com/click/track?ak=39ac400e&sig=0ecd862&sid=459&ppid=29520932&vpid=192868461&ct=offers,LCSC,C48263,,4.111659651811449,8.223319303622898,16.446638607245795,1055,1,https://octopart.com/click/track?ak=39ac400e&sig=07b4c9b&sid=27971&ppid=29520932&vpid=452749828&ct=offers,
2,SN74LVC1G125DBVR,Texas Instruments,SN74LVC1G125DBVR,https://octopart.com/sn74lvc1g125dbvr-texas+instruments-464431,"U4, U5",,SN74LVC1G125DBVR,4,296-11603-1-ND,Cut Tape,0.35704548,70827,1,https://octopart.com/click/track?ak=39ac400e&sig=0e1766e&sid=459&ppid=464431&vpid=1489517&ct=offers,Rochester Electronics,SN74LVC1G125DBVR,,0.09917930000000001,0.19835860000000002,0.39671720000000005,163270,,https://octopart.com/click/track?ak=39ac400e&sig=03302c3&sid=5832&ppid=464431&vpid=182239208&ct=offers,
